1. 1. 1. 1. action-cameras
2. 6. 8. 14. car-jump-starters
3. 8. 10. 17. tire-inflators
4. 10. 12. 23. white-noise-machines
5. 11. 13. 24. memory-foam-pillows
6. 12. 14. 25. cooling-mattress-toppers
7. 14. 18. 29. rice-cookers
8. 16. 22. 38. fitness-trackers
9. 17. 23. 40. foam-rollers
10. 18. 24. 41. treadmills
11. 20. 26. 45. foot-massagers
12. 21. 28. 51. tripods
13. 22. 30. 55. gaming-microphones
14. 23. 31. 56. webcams
15. 25. 33. 66. tablet-stands
16. 29. 43. 84. robot-litter-boxes
17. 30. 44. 85. cat-litter-mats
